id	Age	EduLevel	Gender	ReadAb	Q44	Q63	Q76	Q77	Q84	Q98	Q170	Q196
205	-999	2	1	3	2	4	4	5	4	4	4	4
206	-999	2	2	4	4	2	1	4	1	5	5	3
207	-999	2	1	4	2	2	3	4	4	4	4	4
208	-999	3	2	3	2	3	2	4	2	4	3	4
210	-999	2	2	4	3	3	3	4	2	4	4	3
213	-999	2	1	3	4	5	5	5	5	4	5	5
214	-999	3	2	3	3	4	2	2	2	3	2	3
216	-999	3	2	3	4	5	4	5	4	4	4	4
217	-999	3	2	4	4	3	4	4	3	4	4	4
218	-999	3	2	4	3	4	3	4	4	4	4	4
220	-999	2	2	3	2	4	5	2	2	4	3	3
221	-999	2	2	3	3	3	3	3	3	4	4	3
222	-999	2	2	4	2	3	3	4	3	3	4	3
223	-999	3	1	4	3	3	2	4	3	4	3	3
224	-999	5	2	3	4	5	5	4	3	4	4	3
225	-999	3	2	3	4	4	4	4	4	4	4	4
226	-999	5	1	3	3	4	4	3	3	4	4	4
227	-999	3	2	3	3	4	4	3	3	5	5	4
228	-999	3	2	3	4	3	1	2	3	4	5	3
229	-999	2	2	3	4	3	4	3	4	4	4	4
230	-999	2	1	4	4	4	2	4	4	4	5	4
231	-999	2	1	4	3	5	2	4	3	5	4	4
232	-999	2	1	3	3	2	2	4	3	3	4	4
233	-999	2	2	4	3	5	2	4	4	4	5	5
234	-999	2	2	4	4	4	4	4	4	4	4	4
235	-999	3	2	4	2	5	1	1	1	1	4	3
236	-999	3	2	3	4	4	2	3	3	5	4	4
238	-999	2	2	3	2	2	4	4	2	4	4	4
239	-999	2	2	4	4	4	3	4	1	5	5	5
240	-999	2	2	3	3	2	2	2	2	4	4	4
241	-999	2	2	3	-999	2	2	2	2	4	4	3
242	-999	3	2	3	4	3	3	5	4	4	4	4
243	-999	2	2	4	3	2	2	1	1	3	4	2
244	-999	2	2	4	4	4	4	4	4	4	4	4
245	-999	2	2	4	4	4	2	4	2	4	4	4
246	-999	2	2	3	3	3	2	3	2	3	5	4
247	-999	2	2	3	4	4	4	2	2	5	4	4
248	-999	2	2	4	3	3	2	3	2	3	5	3
251	-999	3	1	4	5	5	2	4	3	5	5	4
252	-999	2	2	4	5	5	4	5	1	5	5	5
253	-999	5	2	4	4	4	4	4	2	5	5	4
254	-999	2	2	4	3	4	4	2	2	4	3	3
255	-999	5	2	4	3	3	2	4	3	4	5	4
256	-999	2	2	4	4	5	2	4	4	4	2	4
257	-999	2	2	4	3	5	2	5	4	3	4	4
259	-999	3	2	4	3	5	4	2	2	4	4	2
260	-999	2	1	4	4	4	4	5	4	4	4	4
261	-999	3	2	3	4	4	4	4	4	4	4	4
263	-999	3	2	4	2	2	1	2	2	3	4	3
264	-999	3	2	3	4	4	4	4	4	4	4	4
265	-999	5	2	4	4	4	5	4	4	4	5	4
266	-999	2	2	3	5	5	2	3	2	3	4	5
269	-999	5	2	3	3	3	3	3	3	4	4	4
270	-999	3	1	4	3	5	2	3	3	4	4	4
271	-999	5	2	4	5	2	2	2	3	4	4	3
272	-999	2	2	4	2	2	2	4	2	5	4	4
273	-999	3	2	3	3	2	2	3	3	3	4	4
274	-999	2	2	4	4	4	5	4	4	5	4	4
275	-999	3	2	3	4	4	4	4	4	4	4	4
276	-999	3	2	3	4	4	2	2	2	4	3	3
279	-999	5	2	4	3	1	4	5	3	4	5	5
281	-999	2	2	3	3	4	2	4	4	4	4	4
282	-999	3	1	3	2	3	1	2	2	3	4	4
284	-999	3	2	3	2	4	5	4	4	4	2	4
285	-999	2	2	3	2	2	2	4	4	5	5	4
287	-999	5	2	3	4	2	2	4	4	4	4	4
288	-999	2	2	3	3	4	4	4	3	4	5	4
290	-999	2	2	3	3	4	3	3	3	3	3	3
291	-999	2	2	4	1	2	2	2	2	3	4	3
293	-999	2	1	3	5	5	2	2	2	4	1	2
294	-999	1	1	3	2	4	4	5	5	5	5	5
295	46	1	1	3	4	5	4	1	3	3	4	3
296	-999	2	1	4	2	3	1	4	3	4	3	3
297	-999	2	1	4	4	5	4	4	3	4	4	5
298	-999	9	1	4	5	5	3	4	2	3	5	-999
299	-999	2	1	3	1	2	2	1	1	2	4	5
300	43	1	1	3	5	5	4	3	4	1	5	3
301	-999	2	1	3	5	5	3	4	4	5	4	5
302	40	9	1	3	3	4	4	4	3	4	3	4
304	-999	2	1	4	5	5	5	5	5	5	5	5
306	25	1	1	4	4	4	3	4	3	4	3	4
307	-999	-999	1	3	4	4	4	2	2	4	4	4
309	-999	2	1	4	2	2	5	5	5	4	3	3
310	53	2	1	3	4	2	4	2	4	4	2	4
313	33	3	1	3	1	5	1	5	4	4	5	5
314	-999	2	1	4	3	5	4	4	3	5	5	4
315	-999	2	1	3	5	5	4	4	5	5	5	5
316	12	4	1	4	4	2	3	2	1	2	2	2
317	33	2	1	3	2	2	1	4	3	4	5	5
318	38	2	1	4	4	4	4	4	2	4	2	4
319	44	2	1	4	4	5	3	4	3	4	4	4
320	-999	1	1	2	2	4	2	4	1	5	2	4
321	-999	2	1	3	4	4	2	3	4	4	4	3
322	-999	2	1	3	5	5	3	1	4	4	4	4
323	-999	1	1	3	2	2	2	3	3	3	4	3
325	-999	9	1	3	3	2	3	3	3	4	2	4
326	-999	2	1	3	4	5	3	5	5	-999	5	5
327	41	2	1	3	1	5	1	2	4	5	1	4
329	30	3	1	3	4	2	2	2	2	4	2	2
331	-999	2	1	3	3	3	4	2	4	4	4	4
332	-999	1	1	3	2	2	2	4	2	4	2	4
333	44	1	1	1	4	5	4	5	5	5	4	5
334	-999	2	1	3	4	4	5	4	2	4	4	5
335	-999	2	1	3	4	5	1	5	2	4	5	5
336	-999	2	1	2	3	1	1	3	3	4	2	4
340	-999	9	1	4	2	2	2	2	4	4	2	2
341	-999	2	1	3	2	3	4	4	3	3	2	3
343	-999	2	1	4	3	2	1	1	2	4	1	1
344	-999	1	1	3	4	5	2	5	4	5	4	5
345	31	3	1	3	2	5	2	5	5	5	5	5
346	48	2	1	3	3	3	3	4	3	4	4	3
347	-999	2	1	3	4	5	2	3	2	5	5	3
348	36	2	1	3	2	2	5	-999	1	2	2	2
349	-999	-999	1	3	3	3	2	4	4	4	4	4
351	35	3	1	3	2	5	1	5	4	5	4	4
354	-999	1	1	3	3	3	3	3	5	4	3	3
356	-999	3	1	4	3	3	2	3	3	4	3	3
357	30	2	1	3	3	4	2	2	2	4	3	3
359	-999	2	1	3	3	3	2	2	3	4	3	3
361	-999	1	1	3	2	2	2	4	2	2	4	4
362	31	2	1	3	3	2	4	4	3	3	5	4
363	29	1	1	3	3	5	1	5	5	5	5	4
364	-999	4	1	4	2	4	2	5	5	5	5	5
365	38	1	1	3	3	4	2	3	2	3	4	3
366	40	2	1	3	2	3	4	5	4	4	4	4
368	34	2	1	3	2	4	2	4	2	2	2	3
370	-999	2	1	3	3	4	4	2	1	4	4	4
371	41	2	1	3	1	1	2	3	2	2	3	3
372	47	2	1	3	4	3	4	3	4	3	4	4
